City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,0.23,84,100,2.41,US,1706667299
1,port-aux-francais,-49.35,70.2167,3.95,73,88,14.22,TF,1706667299
2,kouango,4.9934,19.9619,25.87,38,100,0.42,CF,1706667299
3,nuuk,64.1835,-51.7216,-9.66,62,100,12.07,GL,1706667000
4,ewo,-0.8725,14.8206,25.6,57,100,1.11,CG,1706667299
5,maridi,4.9158,29.4742,21.42,34,98,1.28,SS,1706667300
6,tulchyn,48.6745,28.8464,-0.5,66,55,2.61,UA,1706667300
7,edinburgh of the seven seas,-37.0676,-12.3116,13.91,57,72,1.61,SH,1706667300
8,acarau,-2.8856,-40.12,26.73,83,4,4.56,BR,1706667300
9,troy,42.6056,-83.1499,1.8,94,100,0.0,US,1706667263
10,saint-pierre,-21.3393,55.4781,24.82,83,0,2.06,RE,1706667300
11,iqaluit,63.7506,-68.5145,-23.15,64,100,4.63,CA,1706667300
12,nakskov,54.8373,11.1284,5.64,92,100,10.57,DK,1706667301
13,tokar,18.4254,37.729,22.18,66,100,4.78,SD,1706667301
14,lompoc,34.6391,-120.4579,14.08,85,100,2.06,US,1706667136
15,adamstown,-25.066,-130.1015,25.14,78,100,11.92,PN,1706667301
16,badger,64.8,-147.5333,-25.86,64,75,2.06,US,1706667301
17,grytviken,-54.2811,-36.5092,3.29,79,22,5.01,GS,1706667301
18,jertih,5.7336,102.4897,26.38,80,100,0.34,MY,1706667302
19,hays,30.0502,-98.0336,16.43,55,44,2.46,US,1706667302
20,bilibino,68.0546,166.4372,-33.72,99,100,0.18,RU,1706667302
21,itacare,-14.2775,-38.9967,24.75,88,4,2.47,BR,1706667302
22,enewetak,11.3474,162.3373,26.56,71,92,9.17,MH,1706667303
23,constantia,44.1833,28.65,-4.62,78,31,3.43,RO,1706667303
24,papatowai,-46.5619,169.4708,19.21,49,89,4.79,NZ,1706667303
25,ola,59.5833,151.2833,-18.81,81,17,2.51,RU,1706667304
26,taro,-8.3862,115.28,26.03,62,53,0.78,ID,1706667304
27,ilulissat,69.2167,-51.1,-23.99,49,26,1.54,GL,1706667304
28,howrah,22.5892,88.3103,19.0,94,75,0.0,IN,1706667304
29,tura,25.5198,90.2201,16.74,46,0,0.89,IN,1706667304
30,bryne,58.7354,5.6477,3.88,97,100,4.12,NO,1706667305
31,ushuaia,-54.8,-68.3,9.81,66,40,12.35,AR,1706667305
32,lazaro cardenas,17.9583,-102.2,25.27,73,100,0.55,MX,1706667060
33,atafu village,-8.5421,-172.5159,29.0,74,15,2.9,TK,1706667305
34,guerrero negro,27.9769,-114.0611,18.59,61,0,4.05,MX,1706667305
35,blackmans bay,-43.0167,147.3167,22.51,39,90,3.62,AU,1706667306
36,al bawiti,28.3492,28.8659,7.93,53,9,2.78,EG,1706667306
37,qarazhal,48.0078,70.7903,-6.27,94,93,5.23,KZ,1706667306
38,flying fish cove,-10.4217,105.6791,26.82,94,100,1.54,CX,1706667306
39,waitangi,-43.9535,-176.5597,17.68,98,100,2.24,NZ,1706667306
40,george town,5.4112,100.3354,28.99,75,20,4.63,MY,1706667307
41,st. john's,47.5649,-52.7093,-4.01,83,99,7.6,CA,1706667198
42,georgetown,5.4112,100.3354,28.99,75,20,4.63,MY,1706667307
43,klyuchi,52.2667,79.1667,-13.97,90,100,2.77,RU,1706667307
44,west island,-12.1568,96.8225,28.99,70,40,2.57,CC,1706667307
45,chengde,40.9725,117.9361,-6.84,41,17,2.39,CN,1706667308
46,bethel,41.3712,-73.414,1.31,77,100,2.57,US,1706667308
47,saipan,15.1355,145.701,28.39,57,100,8.75,MP,1706667084
48,garissa,-0.4536,39.6401,26.06,74,100,3.34,KE,1706667308
49,ust-nera,64.5667,143.2,-30.43,98,100,2.05,RU,1706667308
50,brak,27.5496,14.2714,7.56,63,1,4.58,LY,1706667309
51,thunder bay,48.4001,-89.3168,0.99,86,68,3.09,CA,1706667309
52,grand baie,-20.0182,57.5802,26.26,87,78,5.01,MU,1706667309
53,port mathurin,-19.6833,63.4167,27.34,82,100,8.75,MU,1706667309
54,broome,42.2506,-75.833,-0.06,89,100,3.6,US,1706667309
55,kousa,25.9141,32.7636,7.05,46,0,2.48,EG,1706667310
56,yellowknife,62.456,-114.3525,-10.88,100,100,2.81,CA,1706667201
57,itaituba,-4.2761,-55.9836,24.37,99,100,0.9,BR,1706667310
58,kerikeri,-35.2268,173.9474,25.05,58,35,3.36,NZ,1706667310
59,dudinka,69.4058,86.1778,-17.99,84,100,9.39,RU,1706667310
60,oranjemund,-28.55,16.4333,17.76,93,8,2.12,NA,1706667310
61,lihue,21.9789,-159.3672,24.09,84,75,2.06,US,1706667311
62,port saint john's,-31.6229,29.5448,22.26,94,74,3.1,ZA,1706667311
63,fale old settlement,-9.3852,-171.2468,29.64,68,30,1.3,TK,1706667311
64,isafjordur,66.0755,-23.124,-4.7,81,61,3.82,IS,1706667311
65,mar del plata,-38.0023,-57.5575,24.01,78,0,3.6,AR,1706667311
66,coquimbo,-29.9533,-71.3436,18.42,85,11,1.56,CL,1706667196
67,tarauaca,-8.1614,-70.7656,23.72,98,100,0.22,BR,1706667275
68,avarua,-21.2078,-159.775,29.03,70,98,4.63,CK,1706667312
69,anadyr,64.75,177.4833,-32.72,74,0,4.0,RU,1706667312
70,hamilton,39.1834,-84.5333,3.02,95,100,2.06,US,1706667312
71,kadugli,11.0167,29.7167,20.17,16,35,6.52,SD,1706667312
72,margaret river,-33.95,115.0667,27.3,46,0,2.94,AU,1706667312
73,katsuura,35.1333,140.3,13.64,59,7,7.09,JP,1706667313
74,hermanus,-34.4187,19.2345,19.89,82,100,3.29,ZA,1706667313
75,curuzu cuatia,-29.7917,-58.0546,24.29,61,8,3.57,AR,1706667313
76,ribeira grande,38.5167,-28.7,13.76,87,45,3.58,PT,1706667313
77,san martin,-33.081,-68.4681,31.3,38,39,4.65,AR,1706667313
78,olonkinbyen,70.9221,-8.7187,-3.95,75,100,5.63,SJ,1706667314
79,olpad,21.3333,72.75,16.99,73,100,1.61,IN,1706667314
80,colonia,50.9333,6.95,7.76,84,100,4.12,DE,1706667314
81,puerto natales,-51.7236,-72.4875,7.73,89,59,2.05,CL,1706667314
82,vrangel',42.7297,133.0839,-0.59,88,100,1.09,RU,1706667314
83,namibe,-15.1961,12.1522,24.51,79,21,2.1,AO,1706667315
84,tazovsky,67.4667,78.7,-21.32,93,84,6.56,RU,1706667315
85,la ronge,55.1001,-105.2842,6.14,61,0,4.12,CA,1706667315
86,whitehorse,60.7161,-135.0538,-9.76,89,5,3.1,CA,1706667185
87,nicoya,10.1483,-85.452,25.15,64,13,6.04,CR,1706667122
88,kafir qala,34.6667,61.0667,1.84,67,70,8.23,AF,1706667316
89,leh,34.1667,77.5833,-6.93,82,99,1.57,IN,1706667316
90,mejit,10.2753,170.8646,26.31,81,100,8.77,MH,1706667316
91,gaalkacyo,6.7697,47.4308,20.74,88,93,5.63,SO,1706667316
